location,target_lat,target_long
ferraz,-62.08531666,-58.390531
escudero,-62.191944,-58.979721
carlini,-62.238628,-58.667533
prat,-62.47861,-59.664166
jci,-62.66325,-60.38959
byers,-62.663611,-61.099444
gdg,-62.97697,-60.67528
ohiggins,-63.320832,-57.899444
esperanza,-63.3975,-56.99778
racer,-64.067,-61.613
palmer,-64.77413,-64.04744
hugo,-64.962,-65.669
vernadsky,-65.24572,-64.257129
dismal,-68.088,-68.826
sanmartin,-68.130042,-67.101012
hurd,-62.696747,-60.412208
rothera,-67.57002,-68.12361
fossilbluff,-71.329333,-68.267
kirkwood,-68.34,-69.007
kingsejong,-62.22326,-58.787816
